Site,WT,Year,Day
Raft,20.87466099,2015,8
Raft,20.65953036,2015,9
Raft,20.63296303,2015,10
Raft,20.57390624,2015,11
Raft,20.33362853,2015,12
Raft,20.08469495,2015,13
Raft,19.75882383,2015,14
Raft,19.73135623,2015,15
Raft,19.90012775,2015,16
Raft,20.16781874,2015,17
Raft,20.4263041,2015,18
Raft,20.64015482,2015,19
Raft,20.73731731,2015,20
Raft,20.76394116,2015,21
Raft,20.8152147,2015,22
Raft,20.56601568,2015,23
Raft,20.36966895,2015,24
Raft,20.26294474,2015,25
Raft,20.18668308,2015,26
Raft,20.11499839,2015,27
Raft,20.0988671,2015,28
Raft,19.39763831,2015,29
Raft,18.98742924,2015,30
Raft,18.93152895,2015,31
Raft,19.09761224,2015,32
Raft,18.96806172,2015,33
Raft,18.7072277,2015,34
Raft,18.40383101,2015,35
Raft,17.95591228,2015,36
Raft,17.74433751,2015,37
Raft,17.72290722,2015,38
Raft,17.8318822,2015,39
Raft,17.94891961,2015,40
Raft,18.09029035,2015,41
Raft,18.31693311,2015,42
Raft,18.53683792,2015,43
Raft,18.75111682,2015,44
Raft,18.45984911,2015,45
Raft,17.70809296,2015,46
Raft,16.74547742,2015,47
Raft,15.95539763,2015,48
Raft,15.78877627,2015,49
Raft,15.90372922,2015,50
Raft,16.07607236,2015,51
Raft,16.33521821,2015,52
Raft,16.54094362,2015,53
Raft,16.39113881,2015,54
Raft,16.30934068,2015,55
Raft,16.30564058,2015,56
Raft,16.35616454,2015,57
Raft,22.56615755,2016,1
Raft,22.43145961,2016,2
Raft,22.3642877,2016,3
Raft,22.43620672,2016,4
Raft,22.34402379,2016,5
Raft,22.12830802,2016,6
Raft,21.86835721,2016,7
Raft,21.6409797,2016,8
Raft,21.6107709,2016,9
Raft,21.47627015,2016,10
Raft,21.40983471,2016,11
Raft,21.54577965,2016,12
Raft,21.73144619,2016,13
Raft,21.85847653,2016,14
Raft,21.80899602,2016,15
Raft,21.94883779,2016,16
Raft,22.15459029,2016,17
Raft,22.43874026,2016,18
Raft,22.63655719,2016,19
Raft,22.85701714,2016,20
Raft,22.80296114,2016,21
Raft,22.88059836,2016,22
Raft,22.71344382,2016,23
Raft,22.54970176,2016,24
Raft,22.42222576,2016,25
Raft,22.30448036,2016,26
Raft,22.08995206,2016,27
Raft,21.54282204,2016,28
Raft,20.87007503,2016,29
Raft,20.3718769,2016,30
Raft,20.13833645,2016,31
Raft,20.08069574,2016,32
Raft,19.93647913,2016,33
Raft,19.61964944,2016,34
Raft,19.24623528,2016,35
Raft,18.88498,2016,36
Raft,18.67688451,2016,37
Raft,18.44980453,2016,38
Raft,18.49309617,2016,39
Raft,18.56171151,2016,40
Raft,18.68714957,2016,41
Raft,18.83949327,2016,42
Raft,18.84846256,2016,43
Raft,18.50301765,2016,44
Raft,18.28574496,2016,45
Raft,18.07661565,2016,46
Raft,18.04671549,2016,47
Raft,18.06602325,2016,48
Raft,18.13486898,2016,49
Raft,18.25027138,2016,50
Raft,18.30073745,2016,51
Raft,18.10126621,2016,52
Raft,17.45751099,2016,53
Raft,16.77884155,2016,54
Raft,16.60110943,2016,55
Raft,16.58163539,2016,56
Raft,16.6391629,2016,57
Raft,16.8156387,2016,58
Raft,17.0388708,2016,59
Raft,16.90526614,2016,60
Raft,16.4207094,2016,61
Raft,21.54436806,2019,1
Raft,21.35259028,2019,2
Raft,21.4601875,2019,3
Raft,21.68984028,2019,4
Raft,21.53341061,2019,5
Raft,21.18947917,2019,6
Raft,20.96902778,2019,7
Raft,20.73299306,2019,8
Raft,20.4418125,2019,9
Raft,19.88825694,2019,10
Raft,19.38946528,2019,11
Raft,19.48050695,2019,12
Raft,19.70231944,2019,13
Raft,19.98549306,2019,14
Raft,20.28054861,2019,15
Raft,20.56448611,2019,16
Raft,20.77061806,2019,17
Raft,20.81489583,2019,18
Raft,20.20200634,2019,19
Raft,19.70463194,2019,20
Raft,19.57119444,2019,21
Raft,19.62910417,2019,22
Raft,19.76181944,2019,23
Raft,20.0286875,2019,24
Raft,20.04131944,2019,25
Raft,20.1758125,2019,26
Raft,20.40504861,2019,27
Raft,20.6994375,2019,28
Raft,20.40691667,2019,29
Raft,20.41550694,2019,30
Raft,20.45154167,2019,31
Raft,20.37638194,2019,32
Raft,20.21070139,2019,33
Raft,20.09713195,2019,34
Raft,19.85320139,2019,35
Raft,19.88256039,2019,36
Raft,19.66013195,2019,37
Raft,19.24536806,2019,38
Raft,18.9088125,2019,39
Raft,18.57833333,2019,40
Raft,18.28290278,2019,41
Raft,17.87445139,2019,42
Raft,17.80645833,2019,43
Raft,17.922875,2019,44
Raft,18.07455556,2019,45
Raft,17.96888889,2019,46
Raft,17.59559722,2019,47
Raft,16.95974306,2019,48
Raft,16.361375,2019,49
Raft,15.91969444,2019,50
Raft,15.67723836,2019,51
Raft,15.55744444,2019,52
Raft,15.54831944,2019,53
Raft,15.35435417,2019,54
Raft,15.4834375,2019,55
Raft,15.757375,2019,56
Raft,15.94059722,2019,57
Raft,16.03047917,2019,58
Raft,15.45779861,2019,59
Raft,14.55906944,2019,60
Raft,13.87516667,2019,61
