Site,ER,Year,Day
Pelagic,-2.34,2015,44
Pelagic,-2.39,2015,45
Pelagic,-2.09,2015,46
Pelagic,-1.61,2015,47
Pelagic,-1.37,2015,48
Pelagic,-1.44,2015,49
Pelagic,-1.62,2015,50
Pelagic,-1.89,2015,51
Pelagic,-2.15,2015,52
Pelagic,-2.48,2015,53
Pelagic,-2.61,2015,54
Pelagic,-2.64,2015,55
Pelagic,-2.86,2015,56
Pelagic,-3.08,2015,57
Pelagic,-2.55,2016,1
Pelagic,-2.48,2016,2
Pelagic,-3.7,2016,3
Pelagic,-2.63,2016,4
Pelagic,-3.28,2016,5
Pelagic,-2.25,2016,6
Pelagic,-4.91,2016,7
Pelagic,-4.44,2016,8
Pelagic,-5.65,2016,9
Pelagic,-4.46,2016,10
Pelagic,-3.25,2016,11
Pelagic,-3.82,2016,12
Pelagic,-6.33,2016,13
Pelagic,-6.67,2016,14
Pelagic,-3.21,2016,15
Pelagic,-4.52,2016,16
Pelagic,-5.53,2016,17
Pelagic,-6.21,2016,18
Pelagic,-5.94,2016,19
Pelagic,-6.37,2016,20
Pelagic,-5.7,2016,21
Pelagic,-4.17,2016,22
Pelagic,-3.94,2016,23
Pelagic,-3.46,2016,24
Pelagic,-3.3,2016,25
Pelagic,-2.73,2016,26
Pelagic,-1.34,2016,27
Pelagic,-2.38,2016,28
Pelagic,-2.59,2016,29
Pelagic,-2.36,2016,30
Pelagic,-2.62,2016,31
Pelagic,-3.2,2016,32
Pelagic,-2.79,2016,33
Pelagic,-2.25,2016,34
Pelagic,-1.99,2016,35
Pelagic,-1.99,2016,36
Pelagic,-2.31,2016,37
Pelagic,-2.58,2016,38
Pelagic,-3.35,2016,39
Pelagic,-3.63,2016,40
Pelagic,-3.5,2016,41
Pelagic,-4.33,2016,42
Pelagic,-4.84,2016,43
Pelagic,-3.91,2016,44
Pelagic,-3.39,2016,45
Pelagic,-3.11,2016,46
Pelagic,-3.43,2016,47
Pelagic,-3.57,2016,48
Pelagic,-3.57,2016,49
Pelagic,-3.55,2016,50
Pelagic,-3.76,2016,51
Pelagic,-2.87,2016,52
Pelagic,-1.83,2016,53
Pelagic,-1.56,2016,54
Pelagic,-1.63,2016,55
Pelagic,-1.9,2016,56
Pelagic,-2.28,2016,57
