Site,GPP,Year,Day,ID
Pelagic,3.5,2015,9,
Pelagic,3.9,2015,10,
Pelagic,3.8,2015,11,
Pelagic,3.8,2015,12,
Pelagic,3.7,2015,13,
Pelagic,4,2015,14,
Pelagic,4,2015,15,
Pelagic,4.4,2015,16,
Pelagic,4.8,2015,17,
Pelagic,4.8,2015,18,
Pelagic,4.5,2015,19,
Pelagic,4.6,2015,20,
Pelagic,4.5,2015,21,
Pelagic,4.3,2015,22,
Pelagic,4,2015,23,
Pelagic,4,2015,24,
Pelagic,3.7,2015,25,
Pelagic,3.8,2015,26,
Pelagic,3.9,2015,27,
Pelagic,3.7,2015,28,
Pelagic,2.7,2015,29,
Pelagic,3.4,2015,30,
Pelagic,3.3,2015,31,
Pelagic,3.4,2015,32,
Pelagic,2.7,2015,33,
Pelagic,2.5,2015,34,
Pelagic,2.6,2015,35,
Pelagic,2.6,2015,36,
Pelagic,2.9,2015,37,
Pelagic,2.9,2015,38,
Pelagic,3,2015,39,
Pelagic,3.3,2015,40,
Pelagic,3.3,2015,41,
Pelagic,3.2,2015,42,
Pelagic,3,2015,43,
Pelagic,3,2015,44,
Pelagic,2.7,2015,45,
Pelagic,2.8,2015,46,
Pelagic,2.6,2015,47,
Pelagic,2.4,2015,48,
Pelagic,2.5,2015,49,
Pelagic,2.8,2015,50,
Pelagic,2.8,2015,51,
Pelagic,3.1,2015,52,
Pelagic,3.1,2015,53,
Pelagic,3.3,2015,54,
Pelagic,3.5,2015,55,
Pelagic,3.7,2015,56,
Pelagic,3.7,2015,57,
Pelagic,6,2016,1,
Pelagic,6,2016,2,
Pelagic,5.5,2016,3,
Pelagic,5.5,2016,4,
Pelagic,5.4,2016,5,
Pelagic,5.2,2016,6,
Pelagic,4.4,2016,7,
Pelagic,4.8,2016,8,
Pelagic,4.6,2016,9,
Pelagic,5,2016,10,
Pelagic,5.6,2016,11,
Pelagic,5.6,2016,12,
Pelagic,6.4,2016,13,
Pelagic,6.8,2016,14,
Pelagic,4.6,2016,15,
Pelagic,6.4,2016,16,
Pelagic,6,2016,17,
Pelagic,6.1,2016,18,
Pelagic,6.2,2016,19,
Pelagic,6.2,2016,20,
Pelagic,6.3,2016,21,
Pelagic,6,2016,22,
Pelagic,5.4,2016,23,
Pelagic,5.2,2016,24,
Pelagic,4.9,2016,25,
Pelagic,4.9,2016,26,
Pelagic,4.8,2016,27,
Pelagic,5.2,2016,28,
Pelagic,5.4,2016,29,
Pelagic,5.1,2016,30,
Pelagic,5.1,2016,31,
Pelagic,4.8,2016,32,
Pelagic,4.6,2016,33,
Pelagic,4.2,2016,34,
Pelagic,3.9,2016,35,
Pelagic,4.1,2016,36,
Pelagic,4.4,2016,37,
Pelagic,4.4,2016,38,
Pelagic,5,2016,39,
Pelagic,5.2,2016,40,
Pelagic,5.4,2016,41,
Pelagic,5.3,2016,42,
Pelagic,5.1,2016,43,
Pelagic,4.8,2016,44,
Pelagic,5,2016,45,
Pelagic,4.9,2016,46,
Pelagic,4.9,2016,47,
Pelagic,4.8,2016,48,
Pelagic,4.8,2016,49,
Pelagic,4.8,2016,50,
Pelagic,4.8,2016,51,
Pelagic,4,2016,52,
Pelagic,3.9,2016,53,
Pelagic,3.8,2016,54,
Pelagic,4.4,2016,55,
Pelagic,4.2,2016,56,
Pelagic,4,2016,57,
Pelagic,3.7,2016,58,
Pelagic,3.6,2016,59,
Pelagic,3.5,2016,60,
Pelagic,3.6,2016,61,
Pelagic,2.2,2019,1,
Pelagic,2,2019,2,
Pelagic,2.4,2019,3,
Pelagic,2.4,2019,4,
Pelagic,2.6,2019,5,
Pelagic,2.2,2019,6,
Pelagic,1.9,2019,7,
Pelagic,1.9,2019,8,
Pelagic,2.5,2019,9,
Pelagic,2.7,2019,10,
Pelagic,3.3,2019,11,
Pelagic,3.7,2019,12,
Pelagic,4.5,2019,13,
Pelagic,4.7,2019,14,
Pelagic,4.2,2019,15,
Pelagic,3.5,2019,16,
